date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:59	31/31	---M--	200	added ('OK')	text/plain	date:Wed,%2024%20Nov%202021%2016:00:05%20GMT	https://wphix.com/robots.txt		(from )
10:18:00	53139/53139	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:53:39%20GMT	https://wphix.com/template/vom/	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/index.html	(from )
10:18:01	52192/52192	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Sep%202023%2004:48:00%20GMT	https://wphix.com/template/vom/site.webmanifest	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/site.webmanifest	(from https://wphix.com/template/vom/)
10:18:01	2079/2079	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Nov%202021%2011:53:37%20GMT	https://wphix.com/template/vom/img/favicon.png	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/img/favicon.png	(from https://wphix.com/template/vom/)
10:18:01	56048/56048	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:53:32%20GMT	https://wphix.com/template/vom/css/animate.min.css	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/css/animate.min.css	(from https://wphix.com/template/vom/)
10:18:01	140936/140936	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:53:33%20GMT	https://wphix.com/template/vom/css/bootstrap.min.css	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/css/bootstrap.min.css	(from https://wphix.com/template/vom/)
10:18:01	6951/6951	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:53:33%20GMT	https://wphix.com/template/vom/css/magnific-popup.css	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/css/magnific-popup.css	(from https://wphix.com/template/vom/)
10:18:02	4045/4045	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:53:33%20GMT	https://wphix.com/template/vom/css/meanmenu.min.css	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/css/meanmenu.min.css	(from https://wphix.com/template/vom/)
10:18:02	2936/2936	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:53:33%20GMT	https://wphix.com/template/vom/css/owl.carousel.min.css	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/css/owl.carousel.min.css	(from https://wphix.com/template/vom/)
10:18:02	159694/159694	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:53:33%20GMT	https://wphix.com/template/vom/css/fontawesome.min.css	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/css/fontawesome.min.css	(from https://wphix.com/template/vom/)
10:18:02	15131/15131	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:53:33%20GMT	https://wphix.com/template/vom/css/default.css	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/css/default.css	(from https://wphix.com/template/vom/)
10:18:03	943/943	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:53:32%20GMT	https://wphix.com/template/vom/css/barfiller.css	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/css/barfiller.css	(from https://wphix.com/template/vom/)
10:18:03	102778/102778	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:53:33%20GMT	https://wphix.com/template/vom/css/style.css	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/css/style.css	(from https://wphix.com/template/vom/)
10:18:03	19415/19415	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:53:33%20GMT	https://wphix.com/template/vom/css/responsive.css	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/css/responsive.css	(from https://wphix.com/template/vom/)
10:18:03	53139/53139	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:53:39%20GMT	https://wphix.com/template/vom/index.html	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/index-2.html	(from https://wphix.com/template/vom/)
10:18:03	1938/1938	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Nov%202021%2011:53:37%20GMT	https://wphix.com/template/vom/img/homepage1/logo/logo.png	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/img/homepage1/logo/logo.png	(from https://wphix.com/template/vom/)
10:18:04	46321/46321	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:53:39%20GMT	https://wphix.com/template/vom/index-2.html	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/index-3.html	(from https://wphix.com/template/vom/)
10:18:04	41857/41857	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:53:39%20GMT	https://wphix.com/template/vom/index-3.html	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/index-4.html	(from https://wphix.com/template/vom/)
10:18:05	66981/66981	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:53:39%20GMT	https://wphix.com/template/vom/index-4.html	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/index-5.html	(from https://wphix.com/template/vom/)
10:18:05	32150/32150	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:53:32%20GMT	https://wphix.com/template/vom/about.html	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/about.html	(from https://wphix.com/template/vom/)
10:18:05	31689/31689	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:53:39%20GMT	https://wphix.com/template/vom/services.html	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/services.html	(from https://wphix.com/template/vom/)
10:18:05	23093/23093	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:53:39%20GMT	https://wphix.com/template/vom/work.html	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/work.html	(from https://wphix.com/template/vom/)
10:18:06	28270/28270	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:53:32%20GMT	https://wphix.com/template/vom/about_me.html	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/about_me.html	(from https://wphix.com/template/vom/)
10:18:06	27842/27842	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:53:39%20GMT	https://wphix.com/template/vom/personal-details.html	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/personal-details.html	(from https://wphix.com/template/vom/)
10:18:06	23178/23178	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:53:39%20GMT	https://wphix.com/template/vom/single-services.html	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/single-services.html	(from https://wphix.com/template/vom/)
10:18:07	30579/30579	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:53:39%20GMT	https://wphix.com/template/vom/team.html	C:/Users/thede/Downloads/https___wphix.com_template_vom/wphix.com/template/vom/team.html	(from https://wphix.com/template/vom/)
